Date,Close/Last,Volume,Open,High,Low
06/28/2024,$210.62,82542720,$215.77,$216.07,$210.30
06/27/2024,$214.10,49772710,$214.69,$215.7395,$212.35
06/26/2024,$213.25,66213190,$211.50,$214.86,$210.64
06/25/2024,$209.07,56713870,$209.15,$211.38,$208.61
06/24/2024,$208.14,80727010,$207.72,$212.70,$206.59
06/21/2024,$207.49,246421400,$210.39,$211.89,$207.11
06/20/2024,$209.68,86172450,$213.93,$214.24,$208.85
06/18/2024,$214.29,79943250,$217.59,$218.63,$213.00
06/17/2024,$216.67,93728300,$213.37,$218.95,$212.72
06/14/2024,$212.49,70122750,$213.85,$215.17,$211.30
06/13/2024,$214.24,97862730,$214.74,$216.75,$211.60
06/12/2024,$213.07,198134300,$207.37,$220.20,$206.90
06/11/2024,$207.15,172373300,$193.65,$207.16,$193.63
06/10/2024,$193.12,97262080,$196.90,$197.30,$192.15
06/07/2024,$196.89,53103910,$194.65,$196.94,$194.14
06/06/2024,$194.48,41181750,$195.685,$196.50,$194.17
06/05/2024,$195.87,54156790,$195.40,$196.90,$194.87
06/04/2024,$194.35,47471450,$194.635,$195.32,$193.0342
06/03/2024,$194.03,50080540,$192.90,$194.99,$192.52
05/31/2024,$192.25,75158280,$191.44,$192.57,$189.91
05/30/2024,$191.29,49947940,$190.76,$192.18,$190.63
05/29/2024,$190.29,53068020,$189.61,$192.247,$189.51
05/28/2024,$189.99,52280050,$191.51,$193.00,$189.10
05/24/2024,$189.98,36326980,$188.82,$190.58,$188.0404
05/23/2024,$186.88,51005920,$190.98,$191.00,$186.625
05/22/2024,$190.90,34648550,$192.265,$192.8231,$190.27
05/21/2024,$192.35,42309400,$191.09,$192.73,$190.9201
05/20/2024,$191.04,44361280,$189.325,$191.9199,$189.01
